SchemaName,TableName,TableDesc,AutoIMWriteTrigger,AutoIMDeleteTrigger,SystemFlag,SysRevID,SysRowID,LastUpdated
Erp,AC_RecImportAdj,Billing Reconcilliation adjustments generated from imported payments,FALSE,FALSE,TRUE,278410610,f036da3c-b9e9-4afc-abe1-a0e0014a277c,
Erp,AC_REntFdAUS,This table holds enteral feeding information for the resident.,FALSE,FALSE,TRUE,278410611,5619bef9-fedd-45df-8aeb-a0e0014a278a,
Erp,AC_ResiRate,AC_ResiRate,FALSE,FALSE,TRUE,278410612,26d6bbfe-78c0-4dc1-9596-a3720012ad7b,
Erp,AC_RH,This table holds the health information for the resident.,FALSE,FALSE,TRUE,278410613,c325650e-780f-4ca9-a40f-a0e0014a2798,
Erp,AC_RHCrdDtl,This table holds the health card details for the resident.,FALSE,FALSE,TRUE,278410614,26e34cd9-f186-45f7-94d7-a0e0014a27a6,
Erp,AC_RHFN,,FALSE,FALSE,TRUE,278410615,167c7d25-f957-42e6-82eb-a0e0014a27b4,
Erp,AC_RHFNCv,,FALSE,FALSE,TRUE,278410616,98562c2f-6a94-4e52-9d87-a0e0014a27be,
Erp,AC_RHFNTp,This table holds the lookup values for health fund type.,FALSE,FALSE,TRUE,278410617,3d77da88-9bd1-4f10-92cf-a0e0014a27c7,
Erp,AC_RLv,This table holds the leave details for the resident.,FALSE,FALSE,TRUE,278410618,4cf02524-89c8-49af-9765-a0e0014a27d5,
Erp,AC_RLvRsn,This table holds the leave reason codes for the resident. These codes are arranged by leave care types.,FALSE,FALSE,TRUE,278410619,d21bed62-a939-4c09-aa31-a0e0014a27de,
Erp,AC_ROxyTrtAUS,This table holds the oxygen treatment history for the user.,FALSE,FALSE,TRUE,278410620,a49c5ddd-b083-4aaf-adb3-a0e0014a27ed,
Erp,AC_RRCSHeadAUS,This table holds the header information for RCS.,FALSE,FALSE,TRUE,278410621,3c5c8401-15f0-431e-8296-a0e0014a2812,
Erp,AC_RTrfHist,This table holds the transfer history for the resident.,FALSE,FALSE,TRUE,278410622,12d8ef7d-28ef-4116-b15a-a0e0014a2820,
Erp,AC_RuleCode,This table will hold the rule codes information. This is a child table of AC_RuleType table.,FALSE,FALSE,TRUE,278410623,d54e156b-fb77-423f-b949-a0e0014a282e,
Erp,AC_RuleType,AC Rule Type Table,FALSE,FALSE,TRUE,278410624,039fba3a-5a71-423a-97f8-a0e0014a2837,
Erp,AC_SegAccom,This table holds the segment codes for all the segments.,FALSE,FALSE,TRUE,278410625,45f15c37-ce4b-4866-a0db-a0e0014a2841,
Erp,AC_SegBSch,This table holds the Billing Schedules for the segment. They are linked on SegID back to SegAccomCD table.,FALSE,FALSE,TRUE,278410626,505f5757-203c-4acd-aaa8-a0e0014a287d,
Erp,AC_SegCT,This is the segment care type table.,FALSE,FALSE,TRUE,278410627,41e4a1d6-700f-419c-806d-a0e0014a288c,
Erp,AC_SegFRgn,This table holds the region details for the facility.,FALSE,FALSE,TRUE,278410628,14452a71-dd70-49e4-a6f4-a0e0014a2895,
Erp,AC_SegFSite,This table holds the lookup values for facility site.,FALSE,FALSE,TRUE,278410629,18d1d79e-9a5b-4705-b5c4-a0e0014a28a3,
Erp,AC_SegInActRsn,Segment InAct Reason table,FALSE,FALSE,TRUE,278410630,d51d13bd-f3c5-4ef9-91a1-a0e0014a28ac,
Erp,AC_Segment,This table holds the structure of the organization.,FALSE,FALSE,TRUE,278410631,c5e07ae6-4369-44a5-9654-a0e0014a28b6,
Erp,AC_SegmentType,,FALSE,FALSE,TRUE,278410632,00e7072b-2782-49e3-8b06-a0e0014a28c4,
Erp,AC_SegPrice,AC_SegPrice,FALSE,FALSE,TRUE,278410633,f2639995-336c-49d1-8ac4-a64200cb8068,
Erp,AC_SegReno,Table to hold the Segment renovation details.,FALSE,FALSE,TRUE,278410634,0720136e-c52b-4b0f-a483-a0e0014a28cd,
Erp,AC_ServiceLocation,AC_ServiceLocation,FALSE,FALSE,TRUE,278410635,d73df663-95db-417b-90b2-a3720012ad7b,
Erp,AC_ServicePackage,AC_ServicePackage,FALSE,FALSE,TRUE,278410636,6fd94d75-697f-46d7-97db-a3720012ad7b,
Erp,AC_Syst,Aged Care system configuration  parameters and defaults. ,FALSE,FALSE,TRUE,278410637,f80084a4-c39c-4701-9836-a0e0014a28d7,
Erp,AC_Vendor,AC_Vendor,FALSE,FALSE,TRUE,278410638,021ae559-9f7f-4cf3-84ed-a53200eb5893,
Erp,AC_WFGroup,,FALSE,FALSE,TRUE,278410639,10d6f38e-316c-49c6-9349-a0e0014a28e9,
Erp,ACTBook,"Books for each revision, used in PE",FALSE,FALSE,TRUE,278410640,cac2c1b8-c74d-4a60-8e9d-a0e0014a28e9,
Erp,ACTRevision,This table would store the list of all GL Transaction Type Revisions registered in the system. Each GL Transaction Type Revision record belongs to a single GL Transaction Type.,FALSE,FALSE,TRUE,278410641,bb6238da-6743-4d67-9aa2-a0e0014a28f2,
