Company,QueryID,SubQueryID,Relation ID,IsFK,ParentTableID,ChildTableID,JoinType,SystemFlag,SysRevID,SysRowID
,zES_ShipmentLines,d5d05a97-6aa8-411f-9e23-12ec06c5411a,ca4e74f5-46d5-437a-953e-bc7208c5411a,FALSE,ShipDtl,CustCnt,LeftOuter,TRUE,278408648,4ab1db50-8dc4-431d-ad2e-b25a00df7635
,zES_ShipmentLines,d5d05a97-6aa8-411f-9e23-12ec06c5411a,08507818-fc27-43f4-b5f0-bc7208c5411a,FALSE,ShipDtl,ShipTo,LeftOuter,TRUE,278408649,9651a213-004d-4487-899d-b25a00df7635
,zES_Shipto,a142c6e4-2912-4bab-9bee-09861bc5411a,f505360e-c584-4346-8f0e-5e491cc5411a,FALSE,ShipTo,TaxRgn,LeftOuter,TRUE,278408650,28cca102-cedb-402a-b42e-b25a00df7635
,zES_Shipto,a142c6e4-2912-4bab-9bee-09861bc5411a,84907ab1-5c21-440a-9539-5e491cc5411a,FALSE,ShipTo,ShipVia,LeftOuter,TRUE,278408651,1c3dfc81-b746-46d6-aaa9-b25a00df7635
,zES_Shipto,a142c6e4-2912-4bab-9bee-09861bc5411a,745407e4-85d5-44ad-a50f-5e491cc5411a,FALSE,ShipTo,Customer,LeftOuter,TRUE,278408652,0c55cfc3-d0d7-447c-b104-b25a00df7635
,zES_Shipto,a142c6e4-2912-4bab-9bee-09861bc5411a,618f42ad-27f4-472d-b25a-5e491cc5411a,FALSE,ShipTo,SalesRep,LeftOuter,TRUE,278408653,1685b085-d7c8-4573-b4d4-b25a00df7635
,zES_Shipto,a142c6e4-2912-4bab-9bee-09861bc5411a,6c44011c-6db2-4659-b770-5e491cc5411a,FALSE,ShipTo,SalesTer,LeftOuter,TRUE,278408654,d4acdf97-b160-4118-9fb7-b25a00df7635
,zFAssetChange_CN,9be25189-13db-4a18-8ded-1aee1cc2c095,d00b2fb6-a200-470f-ba04-34e1fdf32b8a,FALSE,FAssetReg4,FiscalPer7,Inner,TRUE,278408655,bda8593f-6d76-4c3a-9358-b25a00df7635
,zFAssetChange_CN,df66826b-c355-4623-a6bb-74b60860858b,36542538-f03c-4470-b332-83995017b1ab,TRUE,FAsset3,FAssetDtl3,Inner,TRUE,278408656,2622475e-e129-430c-9984-b25a00df7635
,zFAssetChange_CN,df66826b-c355-4623-a6bb-74b60860858b,e576850b-f924-49e8-aecd-ea904a0c7a05,FALSE,FAsset3,FARevalue,Inner,TRUE,278408657,eb2902c1-ae51-4a88-bd15-b25a00df7635
,zFAssetChange_CN,ed15234a-2b3d-4c17-bf2f-7a3df3d18f8b,42691114-928f-4459-b34b-87586545e6e8,FALSE,CNFAssetChange,EquipLoc,LeftOuter,TRUE,278408658,e0aa65ec-1063-49ee-95e8-b25a00df7635
,zFAssetChange_CN,ed15234a-2b3d-4c17-bf2f-7a3df3d18f8b,bbc9c136-7360-4a81-a488-be8a42ed5cdc,FALSE,FAsset4,CNFAssetChange,Inner,TRUE,278408659,eb3f2e56-63e6-427b-a59a-b25a00df7635
,zFAssetChange_CN,ed15234a-2b3d-4c17-bf2f-7a3df3d18f8b,38839ef6-8d9e-4e5b-84d8-cad54a1a1cd4,TRUE,FAsset4,FAssetDtl4,Inner,TRUE,278408660,1b6ee0b4-60c2-4830-998c-b25a00df7635
,zFAssetChange_CN,65ad6360-3311-439a-a915-94f46300d785,dd718842-9e53-43b4-8362-09365ad11428,TRUE,FAsset,FAssetDtl,Inner,TRUE,278408661,23cee964-baa2-4b3b-ad63-b25a00df7635
,zFAssetChange_CN,65ad6360-3311-439a-a915-94f46300d785,e87823a0-8ee3-4bd1-b246-889bde88bbb1,FALSE,FAsset,FAImpairment,Inner,TRUE,278408662,6a266a1a-d6d3-4f26-9233-b25a00df7635
,zFAssetChange_CN,aa3a8628-9564-4671-a667-c85a9652be95,c73bd83f-c761-4e07-8964-2fd2053cff63,FALSE,FAssetReg3,FiscalPer,Inner,TRUE,278408663,bf58e7b9-27f0-46ac-860f-b25a00df7635
,zFAssetChange_CN,74c6d020-8c41-48f5-b9a1-f09ffae2388b,e006eb03-c1da-4dfd-8d25-83307ef5aa2b,TRUE,FAsset1,FAssetDtl1,Inner,TRUE,278408664,6242ecac-cdab-482e-a9cc-b25a00df7635
