Company,QueryID,SubQueryID,Relation ID,Seq,Field,ParentFieldDataType,IsExpr,Field,ChildFieldDataType,IsExpr,AndOr,Not,(,),=,SystemFlag,SysRevID,SysRowID
,COM-CustTrackerCRMCalls,b63d2605-87ce-4032-9810-e8eeaf951d7e,439d5dc8-da78-444b-bfb3-8121ff951d7e,2,SalesRepCode,nvarchar,FALSE,SalesRepCode,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958897,b4117e15-e2c4-431a-b910-b25a00df764f
,COM-InvoicesPerCustomer,3379870f-8491-481a-8e3f-78ae97b7217e,693642cf-e163-4846-8b70-cfa12ab8217e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958898,5332e966-1d9b-46e7-97b1-b25a00df764f
,COM-InvoicesPerCustomer,3379870f-8491-481a-8e3f-78ae97b7217e,693642cf-e163-4846-8b70-cfa12ab8217e,2,CustNum,int,FALSE,CustNum,int,FALSE,And,FALSE,,,=,TRUE,277958899,5cf9d7f7-dd31-4603-a592-b25a00df764f
,COM-InvoicesPerCustomer,3379870f-8491-481a-8e3f-78ae97b7217e,d7ec7865-bdcb-43b7-aece-cfa12ab8217e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958900,06e07ba1-b511-4690-9305-b25a00df764f
,COM-InvoicesPerCustomer,3379870f-8491-481a-8e3f-78ae97b7217e,d7ec7865-bdcb-43b7-aece-cfa12ab8217e,2,ProdCode,nvarchar,FALSE,ProdCode,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958901,089f3969-519e-427f-85a9-b25a00df764f
,COM-InvoicesPerCustomer,3379870f-8491-481a-8e3f-78ae97b7217e,c8314e8d-ee60-476a-b422-cfa12ab8217e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958902,5bcf97c6-3bcb-42eb-8c03-b25a00df764f
,COM-InvoicesPerCustomer,3379870f-8491-481a-8e3f-78ae97b7217e,c8314e8d-ee60-476a-b422-cfa12ab8217e,2,InvoiceNum,int,FALSE,InvoiceNum,int,FALSE,And,FALSE,,,=,TRUE,277958903,243764c4-5ca4-4f13-b111-b25a00df764f
,COM-JobStatusMain,0d06f5ab-5b6a-482b-b1d8-88e112d9217e,67a0bd22-8402-4f27-8bad-2b193ad9217e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958904,96a76f61-a41c-4a28-a99e-b25a00df764f
,COM-JobStatusMain,0d06f5ab-5b6a-482b-b1d8-88e112d9217e,67a0bd22-8402-4f27-8bad-2b193ad9217e,2,JobCSR,nvarchar,FALSE,SalesRepCode,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958905,8cd505f2-f067-4cb7-b1d6-b25a00df764f
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,e2877b31-a97f-4c12-82cb-e2c7e790247e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958906,fccec774-94a6-4513-83c5-b25a00df764f
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,e2877b31-a97f-4c12-82cb-e2c7e790247e,2,CustNum,int,FALSE,CustNum,int,FALSE,And,FALSE,,,=,TRUE,277958907,7bcf620e-6be2-4679-8161-b25a00df764f
,COM-OrdersPerCustomer,3b50a970-8a34-4888-8687-1b034890247e,64220208-765e-4e77-8f6a-e2c7e790247e,1,Company,nvarchar,FALSE,Company,nvarchar,FALSE,And,FALSE,,,=,TRUE,277958908,b5c5a91e-d979-41ae-bc3d-b25a00df764f
